iter	Passed	Remaining
0	147	14633
1	164	8070
2	180	5835
3	195	4702
4	211	4013
5	227	3562
6	242	3221
7	258	2975
8	273	2761
9	287	2586
10	301	2439
11	315	2315
12	330	2211
13	344	2118
14	359	2034
15	373	1960
16	387	1891
17	402	1832
18	419	1787
19	436	1747
20	454	1710
21	470	1668
22	485	1625
23	499	1581
24	513	1539
25	527	1501
26	542	1466
27	557	1432
28	573	1404
29	589	1375
30	603	1343
31	617	1312
32	634	1289
33	654	1270
34	673	1249
35	693	1232
36	712	1212
37	730	1191
38	746	1167
39	763	1144
40	778	1120
41	794	1097
42	811	1075
43	829	1056
44	849	1038
45	868	1019
46	886	999
47	904	979
48	922	960
49	939	939
50	956	919
51	972	897
52	987	875
53	1003	854
54	1018	833
55	1036	814
56	1055	796
57	1074	778
58	1092	759
59	1111	740
60	1128	721
61	1146	702
62	1161	682
63	1178	662
64	1194	642
65	1210	623
66	1226	604
67	1244	585
68	1262	567
69	1280	548
70	1298	530
71	1314	511
72	1332	492
73	1348	473
74	1364	454
75	1377	435
76	1391	415
77	1405	396
78	1419	377
79	1432	358
80	1446	339
81	1463	321
82	1480	303
83	1497	285
84	1515	267
85	1532	249
86	1549	231
87	1566	213
88	1582	195
89	1597	177
90	1611	159
91	1625	141
92	1639	123
93	1654	105
94	1671	87
95	1689	70
96	1706	52
97	1724	35
98	1741	17
99	1758	0
